torna;datum;burkolat;eredmeny;gyoztes neve;gyoztes magassaga;gyoztes nemzetisege;gyoztes eletkora;vesztes neve;vesztes magassaga;vesztes nemzetisege;vesztes eletkora
Auckland;2016-01-04;Kemény;7-5 6-2;Sloane Stephens;170;USA;22,79;Julia Goerges;180;GER;27,17
Auckland;2016-01-04;Kemény;6-4 6-2;Julia Goerges;180;GER;27,17;Tamira Paszek;165;AUT;25,08
Auckland;2016-01-04;Kemény;6-2 7-6(3);Sloane Stephens;170;USA;22,79;Caroline Wozniacki;177;DEN;25,48
Auckland;2016-01-04;Kemény;6-7(3) 6-2 6-4;Julia Goerges;180;GER;27,17;Nao Hibino;;JPN;21,10
Auckland;2016-01-04;Kemény;6-4 6-7(3) 6-3;Tamira Paszek;165;AUT;25,08;Kirsten Flipkens;165;BEL;29,98
Auckland;2016-01-04;Kemény;6-1 6-0;Caroline Wozniacki;177;DEN;25,48;Alexandra Dulgheru;;ROU;26,60
Auckland;2016-01-04;Kemény;7-6(6) 6-3;Sloane Stephens;170;USA;22,79;Naomi Broady;;GBR;25,85
Auckland;2016-01-04;Kemény;7-5 2-6 7-5;Nao Hibino;;JPN;21,10;Darya Kasatkina;;RUS;18,66
Auckland;2016-01-04;Kemény;6-4 7-6(7);Julia Goerges;180;GER;27,17;Barbora Zahlavova Strycova;164;CZE;29,77
Auckland;2016-01-04;Kemény;6-2 6-3;Tamira Paszek;165;AUT;25,08;Svetlana Kuznetsova;174;RUS;30,52
Auckland;2016-01-04;Kemény;6-1 4-6 6-2;Kirsten Flipkens;165;BEL;29,98;Irina Falconi;;USA;25,67
Auckland;2016-01-04;Kemény;7-6(4) 6-3;Alexandra Dulgheru;;ROU;26,60;Marina Erakovic;174;NZL;27,83
Auckland;2016-01-04;Kemény;6-0 6-2;Caroline Wozniacki;177;DEN;25,48;Christina Mchale;170;USA;23,65
Auckland;2016-01-04;Kemény;3-6 6-1 6-3;Sloane Stephens;170;USA;22,79;Carina Witthoeft;;GER;20,88
Auckland;2016-01-04;Kemény;4-6 7-6(4) 7-5;Naomi Broady;;GBR;25,85;Jelena Ostapenko;;LAT;18,57
Auckland;2016-01-04;Kemény;6-7(4) 6-3 6-3;Darya Kasatkina;;RUS;18,66;Venus Williams;185;USA;35,55
Auckland;2016-01-04;Kemény;6-2 2-6 7-5;Nao Hibino;;JPN;21,10;Mariana Duque Marino;;COL;26,40
Auckland;2016-01-04;Kemény;6-0 6-3;Julia Goerges;180;GER;27,17;Lucie Hradecka;177;CZE;30,62
Auckland;2016-01-04;Kemény;6-2 6-4;Barbora Zahlavova Strycova;164;CZE;29,77;Kiki Bertens;182;NED;24,07
Auckland;2016-01-04;Kemény;6-2 1-1 RET;Svetlana Kuznetsova;174;RUS;30,52;Mona Barthel;185;GER;25,48
Auckland;2016-01-04;Kemény;7-6(3) 4-6 6-3;Tamira Paszek;165;AUT;25,08;Francesca Schiavone;166;ITA;35,53
Auckland;2016-01-04;Kemény;3-6 6-4 6-3;Kirsten Flipkens;165;BEL;29,98;Bethanie Mattek Sands;168;USA;30,78
Auckland;2016-01-04;Kemény;5-7 6-4 6-3;Irina Falconi;;USA;25,67;Coco Vandeweghe;185;USA;24,08
Auckland;2016-01-04;Kemény;1-6 6-2 6-4;Alexandra Dulgheru;;ROU;26,60;Alison Van Uytvanck;;BEL;21,78
Auckland;2016-01-04;Kemény;7-6(2) 7-6(3);Marina Erakovic;174;NZL;27,83;Yulia Putintseva;;KAZ;20,99
Auckland;2016-01-04;Kemény;6-2 6-4;Christina Mchale;170;USA;23,65;Misaki Doi;159;JPN;24,68
Auckland;2016-01-04;Kemény;6-4 6-4;Caroline Wozniacki;177;DEN;25,48;Danka Kovinic;;MNE;21,13
Auckland;2016-01-04;Kemény;6-3 6-3;Sloane Stephens;170;USA;22,79;Polona Hercog;182;SLO;24,96
Auckland;2016-01-04;Kemény;6-2 7-6(3);Carina Witthoeft;;GER;20,88;Tatjana Maria;;GER;28,41
